id,alliance_gift_list,bi_group_entrance,buff,crysta_store_info,discount,dollar,exchangeParam,exchangeType,goods_image,goods_type,icon,info,is_first_reward,is_show,MainUI_btn,name,order,pay_id,percent_show,popupCount,popupTime,previous,privilge_id,reward,reward_extra,reward_special,scale,server_list,show_type,title_image,type_time,vip_exp
101,,,,pay_ui_crysta_1|icon_token01,0,0.99,,None,,1,zs1,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_1,-1,101,-1,-1,,-1,,4401,4401,-1,-1,,,,0,-1
102,,,,pay_ui_crysta_2|icon_token02,0,4.99,,None,,1,zs2,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_2,-1,102,-1,-1,,-1,,4402,4402,-1,-1,,,,0,-1
103,,,,pay_ui_crysta_3|icon_token03,0,9.99,,None,,1,zs3,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_3,-1,103,-1,-1,,-1,,4403,4403,-1,-1,,,,0,-1
104,,,,pay_ui_crysta_4|icon_token04,0,19.99,,None,,1,zs4,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_4,-1,105,-1,-1,,-1,,4404,4404,-1,-1,,,,0,-1
105,,,,pay_ui_crysta_5|icon_token05,0,49.99,,None,,1,zs5,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_5,-1,107,-1,-1,,-1,,4405,4405,-1,-1,,,,0,-1
106,,,,pay_ui_crysta_6|icon_token06,0,99.99,,None,,1,zs6,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_6,-1,108,-1,-1,,-1,,4406,4406,-1,-1,,,,0,-1
111,,,,pay_ui_crysta_1|icon_token01,0,0.99,,None,,1,zs1,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_1,-1,401,-1,-1,,-1,,4410,4410,-1,-1,1-6,,,0,-1
112,,,,pay_ui_crysta_1|icon_token01,0,1.99,,None,,1,zs1,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_11,-1,402,-1,-1,,-1,,4411,4411,-1,-1,1-6,,,0,-1
113,,,,pay_ui_crysta_1|icon_token01,0,2.99,,None,,1,zs1,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_12,-1,403,-1,-1,,-1,,4412,4412,-1,-1,1-6,,,0,-1
114,,,,pay_ui_crysta_2|icon_token02,0,4.99,,None,,1,zs2,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_2,-1,404,-1,-1,,-1,,4413,4413,-1,-1,1-6,,,0,-1
115,,,,pay_ui_crysta_1|icon_token01,0,5.99,,None,,1,zs1,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_13,-1,405,-1,-1,,-1,,4414,4414,-1,-1,1-6,,,0,-1
116,,,,pay_ui_crysta_3|icon_token03,0,9.99,,None,,1,zs3,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_3,-1,406,-1,-1,,-1,,4415,4415,-1,-1,1-6,,,0,-1
117,,,,pay_ui_crysta_4|icon_token04,0,14.99,,None,,1,zs4,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_7,-1,407,-1,-1,,-1,,4416,4416,-1,-1,1-6,,,0,-1
118,,,,pay_ui_crysta_4|icon_token04,0,19.99,,None,,1,zs4,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_4,-1,408,-1,-1,,-1,,4417,4417,-1,-1,1-6,,,0,-1
119,,,,pay_ui_crysta_5|icon_token05,0,29.99,,None,,1,zs5,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_8,-1,409,-1,-1,,-1,,4418,4418,-1,-1,1-6,,,0,-1
120,,,,pay_ui_crysta_5|icon_token05,0,49.99,,None,,1,zs5,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_5,-1,410,-1,-1,,-1,,4419,4419,-1,-1,1-6,,,0,-1
121,,,,pay_ui_crysta_6|icon_token06,0,99.99,,None,,1,zs6,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_6,-1,411,-1,-1,,-1,,4420,4420,-1,-1,1-6,,,0,-1
122,,,,pay_ui_crysta_6|icon_token06,0,24.99,,None,,1,zs6,pay_ui_diamond_desc_1,1,-1,-1,pay_ui_diamond_15,-1,421,-1,-1,,-1,,4409,4409,-1,-1,1-6,,,0,-1
130,,,,,0,0.99,,None,,3,,appstore_pack_0,-1,-1,-1,appstore_pack_1,-1,401,-1,-1,,-1,,49,,-1,-1,,,,-1,-1
131,,,,,0,0.99,,None,Textures/ActivityList/ActivityBG_Package_5,3,Activity_84,appstore_pack_0,-1,-1,-1,appstore_pack_1,900,401,200,-1,,-1,,550,,-1,-1,,,,-1,-1
132,,,,,0,1.99,,None,Textures/ActivityList/ActivityBG_Package_5,3,Activity_84,appstore_pack_0,-1,-1,-1,appstore_pack_2,900,402,200,-1,,-1,,550,,-1,-1,,,,-1,-1
