id,num_max_1,num_max_2,num_max_3,reward_1,reward_2,reward_3
101,40,10,-1,22101,23101,-1
102,40,10,-1,22102,23102,-1
103,40,10,-1,22103,23103,-1
104,40,10,-1,22104,23104,-1
105,40,10,-1,22105,23105,-1
106,40,10,-1,22106,23106,-1
107,40,10,-1,22107,23107,-1
108,40,10,-1,22108,23108,-1
109,40,10,-1,22109,23109,-1
110,40,10,-1,22110,23110,-1
111,40,10,-1,22111,23111,-1
112,40,10,-1,22112,23112,-1
113,40,10,-1,22113,23113,-1
114,40,10,-1,22114,23114,-1
115,40,10,-1,22115,23115,-1
116,40,10,-1,22116,23116,-1
117,40,10,-1,22117,23117,-1
118,40,10,-1,22118,23118,-1
119,40,10,-1,22119,23119,-1
120,40,10,-1,22120,23120,-1
121,40,10,-1,22121,23121,-1
122,40,10,-1,22122,23122,-1
123,40,10,-1,22123,23123,-1
124,40,10,-1,22124,23124,-1
201,40,10,-1,22201,23201,-1
202,40,10,-1,22202,23202,-1
203,40,10,-1,22203,23203,-1
204,40,10,-1,22204,23204,-1
205,40,10,-1,22205,23205,-1
206,40,10,-1,22206,23206,-1
207,40,10,-1,22207,23207,-1
208,40,10,-1,22208,23208,-1
209,40,10,-1,22209,23209,-1
210,40,10,-1,22210,23210,-1
211,40,10,-1,22211,23211,-1
212,40,10,-1,22212,23212,-1
213,40,10,-1,22213,23213,-1
214,40,10,-1,22214,23214,-1
215,40,10,-1,22215,23215,-1
216,40,10,-1,22216,23216,-1
217,40,10,-1,22217,23217,-1
218,40,10,-1,22218,23218,-1
301,40,15,-1,22301,23301,-1
302,40,15,-1,22302,23302,-1
303,40,15,-1,22303,23303,-1
304,40,15,-1,22304,23304,-1
305,40,15,-1,22305,23305,-1
306,40,15,-1,22306,23306,-1
307,40,15,-1,22307,23307,-1
308,40,15,-1,22308,23308,-1
309,40,15,-1,22309,23309,-1
310,40,15,-1,22310,23310,-1
311,40,15,-1,22311,23311,-1
312,40,15,-1,22312,23312,-1
313,40,15,-1,22313,23313,-1
314,40,15,-1,22314,23314,-1
315,40,15,-1,22315,23315,-1
316,40,15,-1,22316,23316,-1
401,40,15,-1,22401,23401,-1
402,40,15,-1,22402,23402,-1
403,40,15,-1,22403,23403,-1
404,40,15,-1,22404,23404,-1
405,40,15,-1,22405,23405,-1
406,40,15,-1,22406,23406,-1
407,40,15,-1,22407,23407,-1
408,40,15,-1,22408,23408,-1
409,40,15,-1,22409,23409,-1
410,40,15,-1,22410,23410,-1
501,40,20,-1,22501,23501,-1
502,40,20,-1,22502,23502,-1
503,40,20,-1,22503,23503,-1
504,40,20,-1,22504,23504,-1
505,40,20,-1,22505,23505,-1
10101,40,10,-1,13000201,13000301,-1
10102,40,10,-1,13000201,13000301,-1
10103,40,10,-1,13000201,13000301,-1
10104,40,10,-1,13000201,13000301,-1
10105,40,10,-1,13000201,13000301,-1
10106,40,10,-1,13000201,13000301,-1
10107,40,10,-1,13000201,13000301,-1
10108,40,10,-1,13000201,13000301,-1
10109,40,10,-1,13000201,13000301,-1
10110,40,10,-1,13000201,13000301,-1
10111,40,10,-1,13000201,13000301,-1
10112,40,10,-1,13000201,13000301,-1
10113,40,10,-1,13000201,13000301,-1
10114,40,10,-1,13000201,13000301,-1
10115,40,10,-1,13000201,13000301,-1
10116,40,10,-1,13000201,13000301,-1
10117,40,10,-1,13000201,13000301,-1
10118,40,10,-1,13000201,13000301,-1
10119,40,10,-1,13000201,13000301,-1
10120,40,10,-1,13000201,13000301,-1
10121,40,10,-1,13000201,13000301,-1
10122,40,10,-1,13000201,13000301,-1
10123,40,10,-1,13000201,13000301,-1
10124,40,10,-1,13000201,13000301,-1
