id,alliance_sign,another_pic,battle_sign,info_id,pic,property_quality,property_source,showType,simple_title,text,title
21,-1,,-1,-1,,-1,,Number,,property_text_1,property_title_1
22,-1,UI/ItemIcon/icon_NeXT_lvup_buff_shibingdengjishangxian,-1,-1,,-1,,Number,,property_text_1,property_title_2
23,-1,,-1,-1,UI/ItemIcon/ArmyAtt/icon_amry_shuxing_kachicishu,-1,,Number,,property_text_1,property_title_3
24,-1,,-1,-1,UI/ItemIcon/ArmyAtt/icon_amry_shuxing_kachouqushijian,-1,,Number,,property_text_2,property_title_4
25,-1,UI/ItemIcon/icon_NeXT_lvup_buff_jinkuangchanliang,-1,-1,,-1,,Number,,property_text_1,property_title_5
26,-1,UI/ItemIcon/icon_NeXT_lvup_buff_tiekuangchanliang,-1,-1,,-1,,Number,,property_text_1,property_title_6
27,-1,,-1,-1,,-1,,Percent,,property_text_1,property_title_7
28,-1,,-1,-1,,-1,,Percent,,property_text_1,property_title_8
29,-1,,-1,-1,,-1,,Number,,property_text_1,property_title_9
30,-1,,-1,-1,,-1,,Number,,property_text_1,property_title_10
31,-1,UI/ItemIcon/icon_NeXT_lvup_buff_zhenrongshangxian,-1,-1,,-1,,Number,,property_text_1,property_title_11
32,-1,UI/ItemIcon/icon_NeXT_lvup_buff_chuanwufuzhong,-1,-1,,-1,,Number,,property_text_1,property_title_12
33,-1,,-1,-1,,-1,,Number,,property_text_1,property_title_13
34,-1,UI/ItemIcon/icon_NeXT_lvup_buff_jiuguanshijian,-1,-1,UI/ItemIcon/ArmyAtt/icon_amry_shuxing_kachouqushijian,-1,,Number,,property_text_7,property_title_14
35,-1,,-1,-1,UI/ItemIcon/ArmyAtt/icon_amry_shuxing_bangzhu,-1,,Number,,property_text_1,property_title_15
36,1,,-1,-1,UI/ItemIcon/ArmyAtt/icon_amry_shuxing_jifen,-1,,Number,alliance_tech_showdesc4,property_text_1,property_title_19
37,1,,-1,-1,,-1,[3|4|5|6],Number,alliance_tech_showdesc1,property_text_1,property_title_16
38,1,,-1,-1,,-1,,Percent,alliance_tech_showdesc8,property_text_1,property_title_23
39,1,,-1,-1,,-1,,Percent,alliance_tech_showdesc9,property_text_1,property_title_24
40,1,,-1,-1,,-1,,Percent,alliance_tech_showdesc10,property_text_1,property_title_25
41,1,,-1,-1,,-1,,Percent,alliance_tech_showdesc11,property_text_1,property_title_26
42,1,,-1,-1,,-1,,Percent,alliance_tech_showdesc12,property_text_1,property_title_27
43,1,,-1,-1,,-1,,Percent,alliance_tech_showdesc13,property_text_1,property_title_28
44,1,,-1,-1,,-1,,Percent,alliance_tech_showdesc14,property_text_1,property_title_29
45,1,,-1,-1,,-1,,Number,alliance_tech_showdesc19,property_text_1,property_title_34
46,1,,-1,-1,,-1,,Percent,alliance_tech_showdesc17,property_text_1,property_title_32
47,-1,,-1,-1,,-1,,Percent,,property_text_1,property_title_32
48,-1,UI/ItemIcon/icon_item_buff_lantushuliang,-1,-1,,5,[1|2],Number,,property_text_12,property_title_40
1000,1,,1,-1,UI/ItemIcon/ArmyAtt/icon_amry_shuxing_kachicishu,-1,,Percent,alliance_tech_showdesc15,property_text_1,property_title_36
1001,1,,1,-1,UI/ItemIcon/ArmyAtt/icon_amry_shuxing_kachicishu,-1,,Percent,alliance_tech_showdesc16,property_text_1,property_title_37
10101,-1,,-1,-1,chip_20001,-1,,Number,,property_text_1,chip_property_title01
10102,-1,,-1,-1,chip_20003,-1,,Number,,property_text_1,chip_property_title02
10103,-1,,-1,-1,chip_20004,-1,,Number,,property_text_1,chip_property_title03
10104,-1,,-1,-1,chip_20002,-1,,Number,,property_text_1,chip_property_title04
10105,-1,,-1,-1,chip_20001,-1,,Percent,,property_text_1,chip_property_title01
10106,-1,,-1,-1,chip_20003,-1,,Percent,,property_text_1,chip_property_title02
10107,-1,,-1,-1,chip_20004,-1,,Percent,,property_text_1,chip_property_title03
10108,-1,,-1,-1,chip_20002,-1,,Percent,,property_text_1,chip_property_title04
