id,info_id,info_num_1,info_num_2,info_num_3,page1,page2,page3,title,title_page,titlePage
1,1,[1|Stronghold_buff_info_004|mail_title8002|2|map_monster_group_name_16|mail_content8006],[1|Stronghold_buff_info_004|antiindulged_tips_002|2|map_monster_group_name_16|mail_content8006],[1|Stronghold_buff_info_004|mail_title8002|2|map_monster_group_name_16|mail_content8006],[[1|Stronghold_buff_info_004|mail_title8002]|[2|map_monster_group_name_16|mail_content8006]],[[1|Stronghold_buff_info_004|antiindulged_tips_002]|[2|map_monster_group_name_16|mail_content8006]],[[1|Stronghold_buff_info_004|mail_title8002]|[2|map_monster_group_name_16|mail_content8006]],weekly_check-in_tips3,[map_monster_group_desc_1|map_monster_group_desc_2|map_monster_group_desc_3],[map_monster_group_desc_1|map_monster_group_desc_2|map_monster_group_desc_3]
2,1,[1|-1|tech_adv_condition_2],,,[[1|-1|tech_adv_condition_2]],[],[],weekly_check-in_tips4,,[]
10001,1,[1|-1|slg_simple_03],,,[[1|-1|slg_simple_03]],[],[],slg_simple_02,,[]
10002,1,[1|s_move_info_tile_21|s_move_info_tips_111|2|s_move_info_tile_22|s_move_info_tips_121|3|s_move_info_tile_23|s_move_info_tips_131|4|-1|s_move_info_tips_132|5|-1|s_move_info_tips_133|6|s_move_info_tile_24|s_move_info_tips_141|7|-1|s_move_info_tips_142|8|-1|s_move_info_tips_143|9|-1|s_move_info_tips_144|10|-1|s_move_info_tips_145|11|s_move_info_tile_25|s_move_info_tips_151|12|-1|s_move_info_tips_152|13|-1|s_move_info_tips_153],[1|s_move_info_tile_31|s_move_info_tips_211|2|-1|s_move_info_tips_212|3|-1|s_move_info_tips_213|4|s_move_info_tile_32|s_move_info_tips_221|5|-1|s_move_info_tips_222|6|-1|s_move_info_tips_223|7|s_move_info_tile_33|s_move_info_tips_231|8|-1|s_move_info_tips_232|9|-1|s_move_info_tips_233|10|-1|s_move_info_tips_234|10|-1|s_move_info_tips_235|11|-1|s_move_info_tips_236|12|-1|s_move_info_tips_237|13|-1|s_move_info_tips_238|14|-1|s_move_info_tips_239|15|-1|s_move_info_tips_240|16|-1|s_move_info_tips_241],[1|s_move_info_tile_41|s_move_info_tips_311|2|-1|s_move_info_tips_312|3|s_move_info_tile_42|s_move_info_tips_321|4|-1|s_move_info_tips_322|5|-1|s_move_info_tips_323|6|-1|s_move_info_tips_324|7|-1|s_move_info_tips_325|8|s_move_info_tile_43|s_move_info_tips_331],[[1|s_move_info_tile_21|s_move_info_tips_111]|[2|s_move_info_tile_22|s_move_info_tips_121]|[3|s_move_info_tile_23|s_move_info_tips_131]|[4|-1|s_move_info_tips_132]|[5|-1|s_move_info_tips_133]|[6|s_move_info_tile_24|s_move_info_tips_141]|[7|-1|s_move_info_tips_142]|[8|-1|s_move_info_tips_143]|[9|-1|s_move_info_tips_144]|[10|-1|s_move_info_tips_145]|[11|s_move_info_tile_25|s_move_info_tips_151]|[12|-1|s_move_info_tips_152]|[13|-1|s_move_info_tips_153]],[[1|s_move_info_tile_31|s_move_info_tips_211]|[2|-1|s_move_info_tips_212]|[3|-1|s_move_info_tips_213]|[4|s_move_info_tile_32|s_move_info_tips_221]|[5|-1|s_move_info_tips_222]|[6|-1|s_move_info_tips_223]|[7|s_move_info_tile_33|s_move_info_tips_231]|[8|-1|s_move_info_tips_232]|[9|-1|s_move_info_tips_233]|[10|-1|s_move_info_tips_234]|[10|-1|s_move_info_tips_235]|[11|-1|s_move_info_tips_236]|[12|-1|s_move_info_tips_237]|[13|-1|s_move_info_tips_238]|[14|-1|s_move_info_tips_239]|[15|-1|s_move_info_tips_240]|[16|-1|s_move_info_tips_241]],[[1|s_move_info_tile_41|s_move_info_tips_311]|[2|-1|s_move_info_tips_312]|[3|s_move_info_tile_42|s_move_info_tips_321]|[4|-1|s_move_info_tips_322]|[5|-1|s_move_info_tips_323]|[6|-1|s_move_info_tips_324]|[7|-1|s_move_info_tips_325]|[8|s_move_info_tile_43|s_move_info_tips_331]],s_move_info_tile_01,[s_move_info_tile_02|s_move_info_tile_03|s_move_info_tile_04],[s_move_info_tile_02|s_move_info_tile_03|s_move_info_tile_04]
10003,1,[1|-1|mail_tips_01|1|-1|mail_tips_02|1|-1|mail_tips_03|1|-1|mail_tips_04||1|-1|mail_tips_05||1|-1|mail_tips_06|],,,[[1|-1|mail_tips_01]|[1|-1|mail_tips_02]|[1|-1|mail_tips_03]|[1|-1|mail_tips_04|]|[1|-1|mail_tips_05|]|[1|-1|mail_tips_06|]],[],[],UI_Title_001,,[]
10004,1,[1|-1|task_new_desc19],,,[[1|-1|task_new_desc19]],[],[],UI_Title_002,,[]
10005,1,[1|chat_rule_new_title_1|chat_rule_new_desc_1|2|chat_rule_new_title_2|chat_rule_new_desc_2|3|chat_rule_new_title_3|chat_rule_new_desc_3],,,[[1|chat_rule_new_title_1|chat_rule_new_desc_1]|[2|chat_rule_new_title_2|chat_rule_new_desc_2]|[3|chat_rule_new_title_3|chat_rule_new_desc_3]],[],[],chat_rule_title_1,,[]
10006,1,[1|-1|gamecenter_tips_12|gamecenter_tips_13],,,[[1|-1|gamecenter_tips_12|gamecenter_tips_13]],[],[],UI_Title_003,,[]
10007,1,[1|-1|UI_Bounty_011],,,[[1|-1|UI_Bounty_011]],[],[],UI_Title_004,,[]
10008,1,[1|-1|UI_Bounty_011],[1|-1|pet_info_tips_4|2|-1|pet_info_tips_8],,[[1|-1|UI_Bounty_011]],[[1|-1|pet_info_tips_4]|[2|-1|pet_info_tips_8]],[],UI_Title_005,[UI_Bounty_020|pet_info_title_01],[UI_Bounty_020|pet_info_title_01]
